Title,Artist,year,duration,loudness,tempo,time_signature,key_mode
Nel Blu Dipinto Di Blu (Volare),Domenico Modugno,1959,181.627,-12.204,128.629,4,6
The Battle of New Orleans,Johnny Horton,1960,152.067,-11.783,177.162,4,9.5
Theme of Exodus,Ernest Gold,1961,892.204,-13.867,68.219,4,9
Moon River,Henry Mancini,1962,199.133,-20.776,81.406,3,0.5
What King of Fool Am I,Sammy Davis Jr.,1963,202.617,-8.959,94.009,4,11
Days of Wine and Roses,Henry Mancini,1964,135.507,-13.853,124.893,4,5
"Hello, Dolly!",Louis Armstrong,1965,144.32,-6.639,77.706,4,0.5
The Shadow of Your Smile,Tony Bennett,1966,272.533,-13.938,165.626,3,4
Michelle,The Beatles,1967,162.373,-12.501,117.403,4,5
"Up, Up and Away",The 5th Dimension,1968,163.347,-14.601,107.743,5,7
Little Green Apples,O.C. Smith,1969,234.96,-20.681,84.303,4,6.5
Games People Play,Joe South,1970,215.16,-8.379,172.288,4,9.5
Bridge Over Troubled Water,Simon & Garfunkel,1971,293.12,-13.888,79.764,4,3.5
You've Got a Friend,James Taylor,1972,268.707,-15.359,91.681,4,9.5
The First Time Ever I Saw Your Face,Roberta Flack,1973,260.666,-21.644,120.653,4,0.5
Killing Me Softly with His Song,Roberta Flack,1974,286.92,-10.238,121.948,4,5
The Way We Were,Barbara Streisand,1975,210.027,-11.109,138.372,3,9.5
Send in the Clowns,Judy Collins,1976,244.427,-16.37,86.659,1,3.5
I Write the Songs,Barry Manilow,1977,239.187,-8.553,148.649,4,3.5
Evergreen (Love Theme from A Star is Born),Barbara Streisand,1978,184.8,-10.943,114.224,4,9.5
Just the Way You Are,Billy Joel,1979,218.933,-12.516,77.47,3,2.5
What a Fool Believes,The Doobie Brothers,1980,290.573,-8.912,139.148,4,7.5
Sailing,Christopher Cross,1981,219.573,-8.82,120.651,4,8
Bette Davis Eyes,Kim Carnes,1982,256.147,-13.203,149.994,4,2.5
Always on My Mind,Willie Nelson,1983,224.693,-7.919,116.685,4,5.5
Every Breath You Take,The Police,1984,212.667,-13.868,73.36,4,2.5
What's Love Got to Do with It,Tina Turner,1985,253.887,-9.78,117.387,4,1.5
We are the World,USA for Africa,1986,226.88,-11.631,97.84,4,1.5
That's What Friends Are For,Dionne Warwick,1987,427.333,-15.255,72.58,4,4.5
Somewhere Out There,Linda Ronstadt,1988,256.467,-14.643,120.117,4,8.5
"Don't Worry, Be Happy",Bobby McFerrin,1989,206.2,-20.021,84.009,3,0.5
Wind Beneath My Wings,Bette Midler,1990,291.56,-22.591,67.865,4,11.5
From a Distance,Bette Midler,1991,293.853,-7.566,123.694,4,10.5
Unforgettable,Nat King Cold,1992,276.346,-11.716,137.989,4,7.5
Tears in Heaven,Eric Clapton,1993,208.64,-12.368,86.966,4,2
A Whole New World,Regina Belle,1994,280,-12.999,79.109,4,9.5
Streets of Philadelphia,Bruce Springsteen,1995,250.4,-17.13,107.829,4,2.5
Kiss From a Rose,Seal,1996,195.293,-15.488,93.667,4,5.5
Change the World,Eric Clapton,1997,288.427,-7.11,131.745,3,10
Sunny Came Home,Shawn Colvin,1998,234.867,-8.8,96.887,4,9.5
My Heart Will Go On,Celine Dion,1999,264.2,-8.05,167.812,4,11
Smooth,Santana,2000,280.613,-8.872,99.414,1,4.5
Beautiful Day,U2,2001,294.987,-3.908,115.996,4,9.5
Fallin',Alicia Keys,2002,246.4,-6.495,136.279,4,2.5
Don't Know Why,Norah Jones,2003,210.2,-7.519,95.986,3,11
Dance with My Father,Luther Vandross,2004,186.147,-11.775,88.174,4,5.5
Daughters,John Mayer,2005,266,-9.971,80.958,4,10.5
Sometimes You Can't Make it on Your Own,U2,2006,237.907,-7.816,124.893,3,2.5
Not Ready to Make Nice,Dixie Chicks,2007,308.893,-5.61,96.027,4,9.5
Rehab,Amy Winehouse,2008,238.227,-6.153,83.241,4,6.5
Viva la Vida,Coldplay,2009,213.76,-2.974,71.515,4,0.5
Single Ladies (Put a Ring on It),Beyonce,2010,242.373,-7.115,138.015,4,5
Need You Now,Lady Antebellum,2011,193.213,-5.293,193.437,4,1.5
Rolling in the Deep,Adele,2012,277.573,-5.535,107.943,4,4.5
We are Young,fun.,2013,228.093,-5.114,104.948,4,8.5
Royals,Lorde,2014,250.627,-5.576,184.086,4,10.5
Stay With Me,Sam Smith,2015,190.185,-9.504,84.878,4,7.5
Thinking Out Loud,Ed Sheeran,2016,172.724,-6.517,85.014,4,0.5
"Hello, Dolly!",Adele,2017,281.56,-6.061,78.998,4,2.5
That's What I Like,Bruno Mars,2018,206.693,-4.961,134.066,4,1.5
This Is America,Childish Gambino,2019,225.773,-6.159,120.024,4,5.5
bad guy,Billie Eilish,2020,194.088,-10.965,135.128,4,7.5
I Can't Breathe,H.E.R.,2021,287.322,-6.676,138.227,4,1
